SampleID,Group,Transformation,Formula,Counts,Perc_Counts
Sample1,Other,Stearyl_Conjugation_(-H),C18H35O,1,4.340277777777778e-05
Sample1,Amino Acid,Guanosine_5_diphosphate_(-H2O),C10H13N5O10P2,5,0.00021701388888888888
Sample1,Amino Acid,Adenosine_5_diphosphate_(-H2O),C10H13N5O9P2,6,0.00026041666666666666
Sample1,Other,Palmitoylation_(-H2O)/Palmitoyl_Conjugation_(-H),C16H30O_C16H31O,6,0.00026041666666666666
Sample1,Amino Acid,Glutathione_(-H2O),C10H15N3O5S,7,0.00030381944444444445
Sample1,Abiotic,GSH_Conjugation_(on_Chlorine)_(-Cl),C10H16N3O6S,7,0.00030381944444444445
Sample1,Amino Acid,Guanosine_(-H2O),C10H11N5O4,12,0.0005208333333333333
Sample1,Amino Acid,Deoxythymidine_5_diphosphate_(-H2O),C10H14N2O10P2,13,0.0005642361111111111
Sample1,Amino Acid,Adenosine_(-H2O),C10H11N5O3,13,0.0005642361111111111
Sample1,Amino Acid,Adenosine-5_-phosphosulfate,C10H14N5O10PS,13,0.0005642361111111111
Sample1,Amino Acid,Thymidine_(-H2O),C10H12N2O4,15,0.0006510416666666666
Sample1,Abiotic,GSH_Conjugation_1,C10H15N3O6S,16,0.0006944444444444445
Sample1,Amino Acid,Thymidine_5_monophosphate_(-H2O),C10H13N2O7P,16,0.0006944444444444445
Sample1,Abiotic,GSH_Conjugation_2,C10H17N3O6S,17,0.0007378472222222222
Sample1,Amino Acid,Uridine_5_diphosphate_(-H2O),C9H12N2O11P2,18,0.00078125
Sample1,Other,Indolylmethyl_glucosinolate,C16H20N2O9S2,19,0.0008246527777777778
Sample1,Other,Pyridoxal_phosphate_(-H2O),C8H8NO5P,20,0.0008680555555555555
Sample1,Abiotic,GSH_Conjugation_(on_Bromine)_(-Br),C10H16N3O6S,21,0.0009114583333333333
Sample1,Other,Phytochelatin,C10H16N3O6S-,24,0.0010416666666666667
Sample1,Amino Acid,Cytidine_5_monophsophate_(-H2O),C9H12N3O7P,24,0.0010416666666666667
Sample1,Amino Acid,Uridine_(-H2O),C9H10N2O5,27,0.001171875
Sample1,Sugar,Disaccharide_(-H2O),C12H20O11,28,0.0012152777777777778
Sample1,Amino Acid,Cytidine_5_diphosphate_(-H2O),C9H13N3O10P2,33,0.0014322916666666666
Sample1,Amino Acid,Tyrosine_(-H2O),C9H9NO2,36,0.0015625
Sample1,Amino Acid,Uridine_5_monophosphate_(-H2O),C9H11N2O8P,41,0.0017795138888888889
Sample1,Abiotic,GSH_Conjugation_(on_Fluorine)_(-F),C10H16N3O6S,41,0.0017795138888888889
Sample1,Abiotic,Acetotacetate_(-H2O),C4H4O2,42,0.0018229166666666667
Sample1,Amino Acid,Guanine_(-H),C5H4N5O,43,0.0018663194444444445
Sample1,Amino Acid,Arginine_(-H2O)/Arginine_Conjugation_(-OH),C6H12N4O_C6H13N4O2,46,0.0019965277777777776
Sample1,Other,Diphosphate,H3O6P2,47,0.0020399305555555557
Sample1,Amino Acid,Valine_(-H2O),C5H9NO,54,0.00234375
Sample1,Amino Acid,Leucine_(-H2O),C6H11NO,54,0.00234375
Sample1,Amino Acid,Isoleucine_(-H2O),C6H11NO,54,0.00234375
Sample1,Amino Acid,Tryptophan_(-H2O),C11H10N2O,54,0.00234375
Sample1,Amino Acid,Phenylalanine_(-H2O),C9H9NO,55,0.002387152777777778
Sample1,Sugar,Glucose-N-Phosphate_(-H2O),C6H11O8P,56,0.0024305555555555556
Sample1,Amino Acid,Adenosine_5_monophosphate_(-H2O),C10H12N5O6P,59,0.002560763888888889
Sample1,Sugar,Glucoside_Conjugation_(-H),C6H11O5,60,0.0026041666666666665
Sample1,Sugar,Erythrose_(-H2O),C4H8O4,61,0.0026475694444444446
Sample1,Amino Acid,Guanosine_5_monophosphate_(-H2O),C10H12N5O7P,62,0.002690972222222222
Sample1,Amino Acid,Proline_(-H2O),C5H7NO,62,0.002690972222222222
Sample1,Sugar,C6H10O6,C6H10O6,64,0.002777777777777778
Sample1,Sugar,Glucuronic_Acid_(-H2O)/Glucuronide_Conjugation_(-H),C6H8O6,66,0.002864583333333333
Sample1,Other,Malonyl_group_(-H2O),C3H2O3,69,0.002994791666666667
Sample1,Amino Acid,Adenine_(-H),C5H4N5,73,0.003168402777777778
Sample1,Abiotic,Tertiary_amine,N,78,0.0033854166666666668
Sample1,Sugar,D-Ribose_(-H2O)_(ribosylation),C5H8O4,79,0.0034288194444444444
Sample1,Other,Urea_addition_(-H),CH3N2O,83,0.0036024305555555558
Sample1,Amino Acid,Lysine_(-H2O),C6H12N2O,86,0.003732638888888889
